LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/making-a-large-island,Making a large island,334,12,0.965317919,Hard,12854,29027,0.44
https://leetcode.com/problems/two-sum,Two sum,13058,470,0.965257244,Easy,2447929,5446814,0.45
https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest flights within k stops,1135,41,0.965136054,Medium,62880,170005,0.37
https://leetcode.com/problems/score-of-parentheses,Score of parentheses,773,28,0.965043695,Medium,27667,47260,0.59
https://leetcode.com/problems/delete-columns-to-make-sorted-iii,Delete columns to make sorted iii,192,7,0.964824121,Hard,5196,9728,0.53
https://leetcode.com/problems/number-of-islands,Number of islands,3824,140,0.964682139,Medium,513181,1159553,0.44
https://leetcode.com/problems/make-array-strictly-increasing,Make array strictly increasing,191,7,0.964646465,Hard,3706,9116,0.41
https://leetcode.com/problems/count-square-submatrices-with-all-ones,Count square submatrices with all ones,218,8,0.96460177,Medium,8090,11928,0.68
https://leetcode.com/problems/longest-mountain-in-array,Longest mountain in array,432,16,0.964285714,Medium,24866,69833,0.36
https://leetcode.com/problems/xor-queries-of-a-subarray,Xor queries of a subarray,81,3,0.964285714,Medium,6046,9383,0.64
https://leetcode.com/problems/unique-binary-search-trees,Unique binary search trees,2426,90,0.964228935,Medium,241684,492125,0.49
https://leetcode.com/problems/shortest-common-supersequence,Shortest common supersequence,241,9,0.964,Hard,6609,13154,0.5
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best time to buy and sell stock with cooldown,1794,67,0.963997851,Medium,115202,254079,0.45
https://leetcode.com/problems/non-overlapping-intervals,Non overlapping intervals,714,27,0.963562753,Medium,54528,129763,0.42
https://leetcode.com/problems/smallest-string-with-swaps,Smallest string with swaps,264,10,0.96350365,Medium,7675,18059,0.42
https://leetcode.com/problems/binary-tree-pruning,Binary tree pruning,758,29,0.963151207,Medium,49672,68346,0.73
https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Construct binary search tree from preorder traversal,495,19,0.963035019,Medium,33338,44707,0.75
https://leetcode.com/problems/single-number,Single number,3273,126,0.962930274,Easy,597095,955969,0.62
https://leetcode.com/problems/palindrome-partitioning,Palindrome partitioning,1320,51,0.962800875,Medium,195918,443821,0.44
https://leetcode.com/problems/count-of-smaller-numbers-after-self,Count of smaller numbers after self,1665,65,0.962427746,Hard,102398,254125,0.4
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best time to buy and sell stock iii,1556,61,0.962275819,Hard,181465,509003,0.36
https://leetcode.com/problems/largest-sum-of-averages,Largest sum of averages,685,27,0.962078652,Medium,18403,38475,0.48
https://leetcode.com/problems/max-chunks-to-make-sorted-ii,Max chunks to make sorted ii,327,13,0.961764706,Hard,16480,34718,0.47
https://leetcode.com/problems/interval-list-intersections,Interval list intersections,650,26,0.961538462,Medium,47981,74106,0.65
https://leetcode.com/problems/coin-change-2,Coin change 2,1144,46,0.961344538,Medium,69250,151631,0.46
https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum subarray sum with one deletion,298,12,0.961290323,Medium,9352,26699,0.35
https://leetcode.com/problems/flip-equivalent-binary-trees,Flip equivalent binary trees,420,17,0.961098398,Medium,31146,47551,0.66
https://leetcode.com/problems/russian-doll-envelopes,Russian doll envelopes,782,32,0.960687961,Hard,55046,158212,0.35
https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,Number of ways to stay in the same place after some steps,122,5,0.960629921,Hard,4998,12325,0.41
https://leetcode.com/problems/maximum-length-of-repeated-subarray,Maximum length of repeated subarray,890,37,0.9600863,Medium,47601,98671,0.48
https://leetcode.com/problems/maximum-subarray,Maximum subarray,5953,248,0.960006451,Easy,733435,1616645,0.45
