problem_link,problem_name,num_occur
https://leetcode.com/problems/range-frequency-queries/,Range Frequency Queries,1
https://leetcode.com/problems/maximum-number-of-words-you-can-type/,Maximum Number of Words You Can Type,1
https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters/,Substrings of Size Three with Distinct Characters,1
https://leetcode.com/problems/construct-target-array-with-multiple-sums/,Construct Target Array With Multiple Sums,3
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,3
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,2
https://leetcode.com/problems/longest-common-prefix/,Longest Common Prefix,3
