problem_link,problem_name,num_occur
https://leetcode.com/problems/count-number-of-homogenous-substrings/,Count Number of Homogenous Substrings,1
https://leetcode.com/problems/hexspeak/,Hexspeak,2
https://leetcode.com/problems/array-transformation/,Array Transformation,2
https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket/,How Many Apples Can You Put into the Basket,2
https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/,Count Substrings with Only One Distinct Letter,2
