problem_link,problem_name,num_occur
https://leetcode.com/problems/degree-of-an-array/,Degree of an Array,3
https://leetcode.com/problems/keyboard-row/,Keyboard Row,2
https://leetcode.com/problems/minimum-moves-to-equal-array-elements/,Minimum Moves to Equal Array Elements,3
https://leetcode.com/problems/coin-change/,Coin Change,5
https://leetcode.com/problems/fraction-to-recurring-decimal/,Fraction to Recurring Decimal,5
https://leetcode.com/problems/distinct-subsequences/,Distinct Subsequences,3
