problem_link,problem_name,num_occur
https://leetcode.com/problems/rank-teams-by-votes/,Rank Teams by Votes,18
https://leetcode.com/problems/greatest-common-divisor-of-strings/,Greatest Common Divisor of Strings,2
https://leetcode.com/problems/lemonade-change/,Lemonade Change,4
https://leetcode.com/problems/logger-rate-limiter/,Logger Rate Limiter,10
https://leetcode.com/problems/design-snake-game/,Design Snake Game,3
https://leetcode.com/problems/single-number/,Single Number,2
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,2
