problem_link,problem_name,num_occur
https://leetcode.com/problems/snapshot-array/,Snapshot Array,5
https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/,Kth Smallest Number in Multiplication Table,4
https://leetcode.com/problems/task-scheduler/,Task Scheduler,2
https://leetcode.com/problems/majority-element/,Majority Element,2
https://leetcode.com/problems/read-n-characters-given-read4/,Read N Characters Given Read4,2
https://leetcode.com/problems/edit-distance/,Edit Distance,2
https://leetcode.com/problems/rotate-image/,Rotate Image,2
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,4
