problem_link,problem_name,num_occur
https://leetcode.com/problems/next-greater-numerically-balanced-number/,Next Greater Numerically Balanced Number,1
https://leetcode.com/problems/maximum-subarray-sum-after-one-operation/,Maximum Subarray Sum After One Operation,1
https://leetcode.com/problems/max-points-on-a-line/,Max Points on a Line,2
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,2
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,2
